Player ID,Player Name,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
12,M__Amir_Khan__12_,National T-20 2025,35,2,2,7,140,7,116,138,7,120,,,,,,24,25,3,0,"4,7,8",
12,M__Amir_Khan__12_,National T-20 2025,37,1,2,4,234,3,120,187,8,120,,,,,,24,50,0,0,,
12,M__Amir_Khan__12_,National T-20 2025,39,1,2,1,110,9,120,111,1,96,0,1,9,YES,,12,12,0,0,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,11,2,1,4,170,4,120,168,7,120,,,,,,24,34,2,0,"2,3",
12,M__Amir_Khan__12_,Champions T20 cup 2024,14,1,1,3,168,10,120,169,7,114,0,0,9,YES,,18,43,1,0,1,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
13,M__Ali__13_,Champions T20 cup 2024,2,1,1,4,216,3,120,181,10,115,,,,,,24,33,3,0,"2,8,9",
13,M__Ali__13_,Champions T20 cup 2024,4,1,1,3,162,5,120,150,7,120,,,,,,24,24,1,0,1,
13,M__Ali__13_,Champions T20 cup 2024,7,2,1,2,167,5,120,170,6,120,,,,,,24,30,0,0,,
13,M__Ali__13_,Champions T20 cup 2024,9,1,1,5,190,4,120,185,9,120,,,,,,24,34,2,0,"4,8",
