Player Name,Player ID,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Dismissal Type,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
Ubaid Shah,11,PSL X,25,1,6,5,108,10,115,110,3,78,3,10,9,YES,2,No,18,43,0,0,0,YES
M. Amir Khan,12,National T20,25,2,2,17,132,3,79,131,9,120,DNB,DNB,DNB,DNB,5,No,24,23,3,1,"1,3,6",YES
M. Amir Khan,12,National T20,31,1,2,16,239,2,120,113,10,117,DNB,DNB,DNB,DNB,5,No,24,21,1,0,2,YES
M. Amir Khan,12,National T20,35,2,2,7,140,7,116,138,7,120,DNB,DNB,DNB,DNB,5,No,24,25,3,0,"4,7,8",YES
M. Amir Khan,12,National T20,37,1,2,4,234,3,120,187,8,120,DNB,DNB,DNB,DNB,5,No,24,50,0,0,0,YES
M. Amir Khan,12,National T20,39,1,2,1,110,9,120,111,1,96,0,1,9,YES,2,No,12,12,0,0,0,YES
M. Amir Khan,12,  Champions T20 2024-25,11,2,1,4,170,4,120,168,7,120,DNB,DNB,DNB,DNB,5,No,24,34,2,0,"2,3",YES
M. Amir Khan,12,  Champions T20 2024-25,14,1,1,3,168,10,120,169,7,114,0,0,9,YES,3,No,18,43,1,0,1,YES
M. Ali,13,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,No
M. Ali,13,  Champions T20 2024-25,2,1,1,4,216,3,120,181,10,115,DNB,DNB,DNB,DNB,5,No,24,33,3,0,"2,8,9",No
M. Ali,13,  Champions T20 2024-25,4,1,1,3,162,5,120,150,7,120,DNB,DNB,DNB,DNB,5,No,24,24,1,0,1,No
M. Ali,13,  Champions T20 2024-25,7,2,1,2,167,5,120,170,6,120,DNB,DNB,DNB,DNB,5,No,24,30,0,0,0,No
M. Ali,13,  Champions T20 2024-25,9,1,1,5,190,4,120,185,9,120,DNB,DNB,DNB,DNB,5,No,24,34,2,0,"4,8",No
M. Ali,13,  Champions T20 2024-25,11,2,1,4,170,4,120,168,7,120,DNB,DNB,DNB,DNB,5,No,24,28,4,0,"1,4,7,8",No
M. Ali,13,  Champions T20 2024-25,14,1,1,3,168,10,120,169,7,114,1,10,10,YES,2,No,18,18,1,0,3,No
M. Ali,13,  Champions T20 2024-25,17,1,1,2,147,9,120,118,10,111,DNB,DNB,DNB,DNB,5,No,21,13,4,0,"3,4,8,11",No
M. Ali,13,  Champions T20 2024-25,20,2,1,5,133,4,84,131,10,120,DNB,DNB,DNB,DNB,5,No,24,15,4,1,"1,3,6,10",No
M. Ali,13,  Champions T20 2024-25,22,1,1,2,199,5,120,124,10,115,DNB,DNB,DNB,DNB,5,No,24,19,3,0,"2,5,8",No
M. Ali,13,PSL X,2,2,5,1,136,10,96,216,3,120,0,1,10,YES,1,No,24,57,0,0,0,No
M. Ali,13,PSL X,5,2,5,3,141,10,112,243,5,120,3,9,10,YES,1,No,24,51,0,0,0,No
M. Ali,13,PSL X,22,2,5,3,147,4,100,143,9,120,DNB,DNB,DNB,DNB,5,No,24,26,3,0,"2,3,7",No
